suburb,geographyCode,population,medianAge,medianHouseholdIncomeWeekly,householdsWithChildrenPct,ownerOccupiedPct,rentingPct,overseasBornPct,cantonesePct,mandarinPct,hongKongBornPct,chinaBornPct,filipinoPct,tagalogPct,thaiPct,spanishPct,portuguesePct,topBirthplacesCount,topLanguagesCount,topNonEnglishLanguagesCount,tenureDenominator,tenureComponentsSum,tenureRandomisationDifference,unpartnered2554Count,unpartnered2554Denominator,unpartnered2554Pct,loneParentFamiliesCount,loneParentFamiliesDenominator,loneParentFamiliesPct,status
Preston,SAL22121,33790,37,1844,36.2,57.3,40.1,32.4,1.3,3.5,0.2,3.0,0.2,0.3,0.2,1.2,0.2,5,5,5,13645,13643,2,6554,16304,40.2,1360,8624,15.8,PASS
Reservoir,SAL22161,51096,38,1541,38.1,60.0,36.4,35.5,1.2,3.6,0.2,3.1,0.3,0.4,0.2,1.0,0.2,5,5,5,20261,20259,2,8529,22301,38.2,2316,13259,17.5,PASS
Richmond,SAL22170,28587,34,2245,20.8,43.0,54.7,30.4,1.3,2.3,0.4,1.7,0.2,0.2,0.3,1.0,0.2,5,5,5,13301,13295,6,7521,15472,48.6,865,6662,13.0,PASS
Rockbank,SAL22186,2583,31,1781,46.8,65.1,31.6,44.0,0.1,0.5,0.0,0.2,1.0,1.3,0.3,1.5,0.0,5,5,5,912,912,0,358,1269,28.2,86,663,13.0,PASS
Rosanna,SAL22194,8616,41,2213,46.4,75.1,22.4,26.6,1.4,4.1,0.3,3.2,0.1,0.1,0.3,0.6,0.1,5,5,5,3204,3207,-3,813,3280,24.8,286,2346,12.2,PASS
Seddon,SAL22256,5143,36,2471,37.1,58.8,39.1,26.8,1.5,1.1,0.4,1.0,0.2,0.3,0.3,0.6,0.2,5,5,5,2085,2079,6,839,2639,31.8,163,1413,11.5,PASS
South Melbourne,SAL22310,11548,39,2101,22.1,42.3,54.9,35.3,1.4,3.2,0.6,2.6,0.2,0.3,0.4,1.8,0.5,5,5,5,5547,5556,-9,2410,5640,42.7,386,2853,13.5,PASS
South Yarra,SAL22314,25028,33,2063,13.4,35.5,61.8,37.6,1.6,5.3,0.7,4.4,0.2,0.3,0.5,2.0,0.4,5,5,5,13082,13086,-4,6886,13512,51.0,592,5553,10.7,PASS
Spotswood,SAL22319,2820,37,2460,45.1,65.6,32.2,22.9,0.9,1.0,0.2,0.8,0.2,0.4,0.3,0.9,0.2,5,5,5,1058,1056,2,387,1333,29.0,101,775,13.0,PASS
Springvale,SAL22328,22174,36,1402,46.4,54.7,39.2,66.3,6.3,6.7,0.5,5.3,0.5,0.7,0.9,0.6,0.1,5,5,5,7165,7158,7,4445,9410,47.2,1068,5495,19.4,PASS
St Albans,SAL22330,38042,36,1205,47.9,59.0,36.2,58.4,2.4,1.3,0.2,1.1,1.1,1.4,0.2,1.0,0.1,5,5,5,12379,12378,1,6962,14418,48.3,2315,9391,24.7,PASS
St Kilda,SAL22343,19490,36,1779,12.9,37.1,60.4,36.9,0.6,1.3,0.3,1.1,0.2,0.2,0.3,2.6,0.8,5,5,5,10372,10367,5,5500,10777,51.0,443,4075,10.9,PASS
St Kilda East,SAL22344,12571,34,2020,25.2,48.8,48.5,30.8,0.4,1.1,0.3,0.8,0.2,0.3,0.3,1.7,0.3,5,5,5,5508,5511,-3,2681,6191,43.3,308,2801,11.0,PASS
St Kilda West,SAL22345,2951,40,1983,22.7,46.5,51.2,29.4,0.1,0.8,0.2,0.6,0.0,0.1,0.2,1.2,0.8,5,5,5,1410,1413,-3,581,1335,43.5,64,655,9.8,PASS
Sunbury,SAL22391,38851,38,1925,49.2,77.6,20.4,16.9,0.2,0.5,0.1,0.3,0.2,0.4,0.2,0.4,0.1,5,5,5,14118,14115,3,4392,15138,29.0,1861,10948,17.0,PASS
Sunshine,SAL22395,9445,35,1566,42.4,55.7,40.4,48.3,2.5,2.1,0.2,1.8,0.8,1.0,0.3,1.6,0.1,5,5,5,3365,3359,6,1909,4278,44.6,471,2325,20.3,PASS
Sunshine North,SAL22396,12047,37,1399,51.7,66.2,29.5,54.2,4.0,1.3,0.3,1.0,0.6,1.1,0.2,1.2,0.2,5,5,5,3862,3858,4,2216,4713,47.0,710,2976,23.9,PASS
Sunshine West,SAL22397,18552,38,1416,49.7,68.3,27.8,51.0,2.4,1.8,0.4,1.4,0.7,1.1,0.3,1.4,0.2,5,5,5,6214,6218,-4,3355,7332,45.8,1101,4821,22.8,PASS
Surrey Hills,SAL22399,13655,42,2503,47.5,76.5,21.6,26.9,2.0,7.8,0.8,6.0,0.1,0.1,0.1,0.3,0.1,5,5,5,5003,5010,-7,1246,4833,25.8,431,3754,11.5,PASS
Sydenham,SAL22414,10578,37,1813,54.9,66.5,31.2,42.4,1.0,1.6,0.2,1.1,1.3,1.7,0.1,1.5,0.2,5,5,5,3462,3465,-3,1600,4295,37.3,560,2799,20.0,PASS
Tarneit,SAL22451,56370,30,2103,68.2,66.6,29.5,57.0,0.5,1.2,0.2,0.9,1.3,1.9,0.1,0.6,0.1,5,5,5,15542,15542,0,5864,26726,21.9,1519,14117,10.8,PASS
Templestowe,SAL22483,16966,46,2163,52.0,82.2,14.0,42.6,6.7,13.1,2.6,10.6,0.1,0.1,0.1,0.2,0.2,5,5,5,5717,5712,5,1623,5443,29.8,549,4894,11.2,PASS
Thomastown,SAL22504,20234,39,1225,45.8,67.7,28.7,51.5,1.2,2.3,0.1,2.0,0.5,0.4,0.2,0.5,0.3,5,5,5,7347,7348,-1,3321,7640,43.5,1120,5580,20.1,PASS
Thornbury,SAL22508,19005,37,1971,33.9,55.9,41.9,26.6,0.8,1.1,0.2,0.9,0.1,0.1,0.2,0.9,0.2,5,5,5,7996,8000,-4,3640,9298,39.1,682,4773,14.3,PASS
Toorak,SAL22547,12817,47,2533,27.5,65.2,31.1,30.9,1.5,6.4,0.9,5.0,0.1,0.1,0.2,0.9,0.2,5,5,5,5481,5486,-5,1765,4291,41.1,374,3308,11.3,PASS
Tullamarine,SAL22586,6733,39,1404,37.9,62.2,34.1,33.9,0.8,0.7,0.2,0.6,0.4,0.7,0.5,0.5,0.2,5,5,5,2819,2807,12,1112,2735,40.7,361,1840,19.6,PASS
Viewbank,SAL22633,7030,43,2062,55.5,84.8,12.9,30.9,1.9,9.5,0.8,6.4,0.0,0.0,0.1,0.5,0.1,5,5,5,2466,2467,-1,570,2449,23.3,272,2030,13.4,PASS
Watsonia,SAL22721,5352,38,1883,44.0,68.2,29.9,20.9,1.3,3.0,0.4,2.2,0.1,0.2,0.3,0.7,0.2,5,5,5,2105,2106,-1,687,2272,30.2,262,1476,17.8,PASS
Watsonia North,SAL22722,3799,41,2069,49.8,86.3,12.4,22.3,1.2,2.8,0.3,2.5,0.2,0.3,0.3,0.0,0.1,5,5,5,1368,1376,-8,418,1441,29.0,157,1131,13.9,PASS
Werribee,SAL22750,50027,35,1645,48.3,63.8,33.3,34.6,0.4,1.3,0.2,0.9,0.8,1.0,0.3,0.7,0.2,5,5,5,17614,17612,2,6833,20524,33.3,2531,13202,19.2,PASS
West Footscray,SAL22756,11729,35,1989,37.3,56.7,40.4,33.5,1.6,1.5,0.3,1.1,0.4,0.8,0.3,1.4,0.3,5,5,5,4597,4589,8,2131,5827,36.6,433,2947,14.7,PASS
West Melbourne,SAL22757,8025,31,1788,15.2,32.4,65.2,53.5,3.4,13.6,1.5,10.6,0.5,0.6,1.0,4.0,0.7,5,5,5,3853,3856,-3,2160,4775,45.2,155,1848,8.4,PASS
Williamstown,SAL22792,14407,45,2411,45.6,73.6,24.5,22.6,0.3,0.7,0.1,0.5,0.2,0.1,0.2,0.8,0.2,5,5,5,5460,5467,-7,1204,4875,24.7,499,4009,12.4,PASS
Windsor,SAL22805,7273,34,2022,15.0,39.4,57.7,33.4,0.9,1.9,0.4,1.5,0.2,0.2,0.4,1.6,0.4,5,5,5,3611,3603,8,2057,4025,51.1,169,1562,10.8,PASS
Wollert,SAL22820,24407,30,1979,65.5,73.7,23.5,50.0,0.3,1.1,0.1,0.7,0.8,0.8,0.1,0.5,0.3,5,5,5,7257,7256,1,2531,11993,21.1,763,6501,11.7,PASS
Wyndham Vale,SAL22883,20518,31,1766,59.1,66.4,31.4,40.1,0.3,1.0,0.2,0.6,0.6,0.9,0.3,0.5,0.2,5,5,5,6520,6517,3,2655,9000,29.5,1113,5454,20.4,PASS
Yarraville,SAL22917,15636,37,2485,41.7,64.9,33.2,24.6,0.9,0.8,0.2,0.5,0.0,0.2,0.2,1.3,0.2,5,5,5,6060,6073,-13,2160,7492,28.8,522,4245,12.3,PASS
