id,displayName,components,observedLgas,censusPopulation2021,adjustedThreeYearPersonYears,growthMultiple,candidateSafetyScore,candidateRank,census2021SmoothedScore,census2021SmoothedRank,denominatorScoreDelta,denominatorRankDelta,adjustedRawScore,adjustedRawRank,smoothingScoreDelta,smoothingRankDelta,personCount,personRawRate,personSmoothedRate,personRiskPercentile,burglaryCount,burglaryRawRate,burglarySmoothedRate,burglaryRiskPercentile,vehicleCount,vehicleRawRate,vehicleSmoothedRate,vehicleRiskPercentile,damageCount,damageRawRate,damageSmoothedRate,damageRiskPercentile
maidstone-house,Maidstone,Maidstone,Maribyrnong,9389,30891.9911,1.0967,4.9534,69,4.8093,70,0.1441,-1,4.8093,70,0.1441,-1,284,919.3321,986.4809,0.5169,127,411.1098,430.6159,0.339,875,2832.4493,2621.9096,0.7712,194,627.9945,628.8898,0.5763
maribyrnong-2br,Maribyrnong,Maribyrnong,Maribyrnong,12573,41368.0908,1.0967,2.322,98,2.2373,96,0.0847,2,2.4237,95,-0.1017,3,562,1358.535,1326.4883,0.7458,263,635.7557,607.5512,0.7542,1470,3553.4635,3245.4994,0.8983,305,737.2832,716.7204,0.678
port-melbourne-2br,Port Melbourne,Port Melbourne,Melbourne | Port Phillip,17633,62368.4524,1.179,2.3602,97,1.9195,98,0.4407,-1,2.5212,94,-0.161,3,804,1289.1133,1275.9589,0.7203,369,591.6453,577.7206,0.7373,2494,3998.8166,3718.6799,0.9661,497,796.8772,774.0466,0.7542
sunshine-north-house,Sunshine North,Sunshine North,Brimbank,12047,36429.3783,1.008,3.2373,87,3.7373,82,-0.5,5,3.2415,87,-0.0042,0,388,1065.0744,1092.8246,0.6271,212,581.9479,562.3324,0.678,1152,3162.2829,2905.8133,0.8475,256,702.7295,687.4216,0.6441
sunshine-west-house,Sunshine West,Sunshine West,Brimbank,18552,56100.0936,1.008,5.1737,62,5.6992,52,-0.5254,10,5.0593,66,0.1144,-4,564,1005.3459,1033.874,0.5847,238,424.2417,434.3223,0.3475,971,1730.8349,1767.2457,0.4068,307,547.2362,560.0076,0.5
tullamarine-house,Tullamarine,Tullamarine,Brimbank | Hume | Merri-bek,6733,21708.9113,1.0748,3.9788,77,4.0381,76,-0.0593,1,4.072,78,-0.0932,-1,278,1280.5801,1253.2492,0.7034,62,285.597,350.3351,0.2034,1326,6108.0907,4803.5426,1.0,197,907.4614,820.4809,0.7881
templestowe-house,Templestowe,Templestowe,Manningham,16966,53567.5421,1.0524,8.3263,10,8.4153,9,-0.089,1,8.1102,12,0.2161,-2,233,434.9649,554.3579,0.0169,272,507.7702,505.1122,0.5169,363,677.6492,881.1904,0.0254,75,140.0102,217.3524,0.0
sydenham-house,Sydenham,Sydenham,Brimbank,10578,31987.2138,1.008,7.0212,29,7.3941,22,-0.3729,7,7.0085,29,0.0127,0,270,844.0873,927.4054,0.4746,71,221.9637,286.0095,0.0847,321,1003.526,1234.0687,0.1271,117,365.7712,429.0963,0.322
rockbank-house,Rockbank,Rockbank,Melton,2583,10154.8167,1.3105,2.0381,100,1.7288,101,0.3093,-1,1.6398,104,0.3983,-4,166,1634.6922,1415.9974,0.822,83,817.3461,655.3641,0.8305,259,2550.5138,2263.236,0.6525,93,915.8215,774.83,0.7627
wollert-house,Wollert,Wollert,Whittlesea,24407,82263.124,1.1235,7.8178,14,7.5551,19,0.2627,-5,7.2881,23,0.5297,-9,600,729.3669,779.7175,0.3305,254,308.7653,328.5033,0.1356,659,801.088,927.945,0.0508,247,300.256,336.175,0.0932
mernda-house,Mernda,Mernda,Whittlesea,23369,78764.5735,1.1235,7.5636,21,7.3475,23,0.2161,-2,7.2712,24,0.2924,-3,670,850.6362,889.3094,0.4407,109,138.3871,178.0974,0.0085,601,763.0334,899.1775,0.0424,313,397.3868,423.7789,0.2881
