id,suburb,salCodes,greenspace,localOpenSpaceAccess,majorParkAccess,natureCorridorAccess,localCoverageWithin400mPct,medianLocalDistanceM,medianMajorParkDistanceM,medianNatureDistanceM,residentialSampleCount,residentialPopulationWeight,censusPopulation2021,residentialPopulationCoveragePct,componentSpread,reviewFlags,rank
williamstown-house,Williamstown,22792,9.8146,10.0,9.6169,9.6476,97.2,129.21377740685958,315.37409726385755,261.99787805791846,149,14156,14407,98.3,0.4,,25
keilor-east-house,Keilor East,21316,9.812,10.0,9.6606,9.5689,100.0,104.54298185186013,292.255578249795,350.8252089148254,142,14882,15078,98.7,0.4,,26
eltham-north-house,Eltham North,20866,9.7971,10.0,9.328,9.9933,100.0,94.1649106416145,472.0693739803422,169.32812009386606,56,6777,6830,99.2,0.7,,27
newport-house,Newport,21934,9.7848,10.0,9.5659,9.5751,98.2,141.0214253375467,363.098602807297,352.12506888075455,128,13625,13658,99.8,0.4,,28
blackburn-house,Blackburn,20252,9.7647,10.0,9.3601,9.7836,95.8,123.65305858201852,428.40724266512774,206.50378509035812,157,14062,14478,97.1,0.6,,29
eltham-house,Eltham,20865,9.7635,10.0,9.2908,9.8812,97.2,121.10689818107099,398.52037454704555,253.2364611191004,172,18375,18847,97.5,0.7,,30
braybrook-villa,Braybrook,20324,9.7523,10.0,9.7563,9.1272,96.9,155.4221977338698,337.49738669997623,549.5240809250332,92,9538,9682,98.5,0.9,,31
keysborough-house,Keysborough,21339,9.7415,10.0,9.36,9.6674,99.3,109.5417373183803,376.75807950371967,256.28746679970993,242,29730,30018,99.0,0.6,,32
bulleen-house,Bulleen,20386,9.7257,10.0,9.2174,9.8026,100.0,141.96343880840027,466.82411898362744,243.3969865586007,110,11223,11219,100.0,0.8,,33
heidelberg-3br-townhouse,Heidelberg,21167,9.6911,10.0,9.042,9.8923,98.6,130.6188947185952,451.61863302957886,191.24186792722654,72,6936,7360,94.2,1.0,,34
yarraville-2br,Yarraville,22917,9.6766,10.0,9.5458,9.0643,95.5,146.47256324007128,349.14611466070295,430.1753033125215,165,15503,15636,99.1,0.9,,35
parkville-2br,Parkville,22038,9.6566,10.0,9.9406,8.3719,100.0,60.21089125365766,147.93161284493854,722.5105685486591,58,5092,7074,72.0,1.6,lowResidentialPopulationCoverage,36
albert-park-2br,Albert Park,20018,9.6537,9.6666,9.6693,9.598,91.8,209.71887934914952,355.03363071394296,386.23889283278487,76,5828,5828,100.0,0.1,,37
watsonia-house,Watsonia,22721,9.6415,10.0,9.8559,8.4236,97.6,162.11633258643465,322.7929260933072,595.1146550388673,58,5321,5352,99.4,1.6,,38
burwood-house,Burwood,20426,9.6365,10.0,9.0667,9.5824,99.1,111.15377990974049,453.36758004639796,393.71551088567486,137,14890,15147,98.3,0.9,,39
doncaster-villa,Doncaster,20771,9.6298,10.0,9.3989,9.0508,100.0,132.20222240712516,367.92382494438135,498.70366021137414,228,24567,25020,98.2,0.9,,40
rosanna-house,Rosanna,22194,9.6275,9.6433,9.7181,9.4519,91.6,187.42566092791128,357.871586716297,423.3614228606454,92,8607,8616,99.9,0.3,,41
brunswick-west-2br,Brunswick West,20363,9.6237,10.0,9.3148,9.1462,98.5,157.1346211161906,429.1547554423306,489.70880429210246,181,14616,14746,99.1,0.9,,42
mount-waverley-villa,Mount Waverley,21816,9.6231,10.0,9.1369,9.4103,99.5,141.22483429303125,434.76049137075347,349.51654760130884,347,35342,35340,100.0,0.9,,43
box-hill-north-house,Box Hill North,20315,9.6195,10.0,9.0014,9.5953,98.5,155.4288971032455,529.0880782421578,335.9226504271243,116,12286,12337,99.6,1.0,,44
